句子,标签
你好，有哪方面问题需要了解的，请讲！前列腺炎34岁,O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom B_age I_age O
好像有霉菌性阴的人,O O O B_symptom I_symptom I_symptom I_symptom O O
怎么取啊，,O O O O O
这检查，，费用几何呢,O O O O O O O O O O
主要不想做，，，，害怕动刀,O O O O O O O O O B_emotion I_emotion O B_tool
好尿裤子尿不尽是前列腺炎的典型的症状,O B_symptom I_symptom I_symptom B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O O O O
"请问是预约挂号呢,还是疾病咨询?请问是预约挂号呢,还是疾病咨询?",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
需要先过来检查看一下具体情况才可以知道，我姓李怎么称呼呢？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
感觉你很不耐烦,O O O O B_emotion I_emotion I_emotion
硬度不够，半路发软，南勃起，这是什么证状,B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O O O O O O O
阴茎不够粗大,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
这个有什么症状吗？,O O O O O O O O O
不发黄，有透明的有白的,O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
咱们男性阴茎持续性的勃起主要是靠阴茎海绵体充血。,O O O O B_part I_part O O O O B_physiology I_physiology O O O O B_part I_part I_part I_part I_part O O O
验的早早孕,O O B_tool I_tool I_tool
手术后有疤痕,O O O O B_symptom I_symptom
在那边直接咨询完挂号就行,O O O O O O O O O O O O
你说的600----1200只是手术费吧，不包括术后回复的费用吧，我要问的是，一共下来多钱,O O O B_price I_price I_price O O O O B_price I_price I_price I_price O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
您好，您有什么问题请讲！可以加我微信2850598971,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
有点痒痒！,B_symptom I_symptom I_symptom I_symptom O
我没有性生活，平常也很注意卫生的啊,O O O B_physiology I_physiology I_physiology O O O O O O O O O O O
怎么治疗？手术还是药物,O O O O O O O O O O O
射精无力硬度不够中途好软,B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom
都治不好？你现在疾病的症状是初期急性尽快的到院检查和治疗是可以治愈的拖延下去能不能治好就不好说了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我这是阴虚吗,O O O B_symptom I_symptom O
难道您了,O O O O
好几年了，有时有，有时没有,O O O O O O O O O O O O O
这种情况用什么药,O O O O O O O O
那怎么办这个建议你是来院做个这方面相关检查，排查一下,O O O O O O O O O O O O O O O O O O O O O O O O O O
以您的经验判断我这是尖锐湿疣吗,O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O
基本上一个小时就一次,O O O B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency I_frequency
就龟头很敏感嗯，这种情况考虑是神经敏感度过高，在性生活中受到刺激后，由于敏感神经的问题导致早射精的情况出现,O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O O O O
嗯，这个一般需要来院咱们先做面诊了解清楚你的实际情况，看是需要物理治疗还是手术治疗的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
很容易后期精子质量影响生育的,O O O O O B_fluid I_fluid O O O O O O O
阴茎背神经过渡敏感包皮过长泌尿系统炎症前列腺炎症,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom B_symptom I_symptom I_symptom I_symptom I_symptom
尿尿红色是什么情况?,B_symptom I_symptom I_symptom I_symptom O O O O O O
这是不是肾虚症状,O O O O B_symptom I_symptom O O
四十多是你本人的情况吗？,O O O O O O O O O O O O
那这个现在咋办呢,O O O O O O O O
包茎有什么症状,B_symptom I_symptom O O O O O
你是石家庄的吗,O O B_address I_address I_address O O
"请问是预约挂号呢,还是疾病咨询?询问",O O O O O O O O O O O O O O O O O O
你又说10到15分钟是正常,O O O B_datetime I_datetime I_datetime I_datetime I_datetime I_datetime I_datetime O O O
男生撒尿的时候带有微黄色颗粒，怎么回事？,O O B_physiology I_physiology O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
需要局部用药吗?有什么禁忌吗,O O O O O O O O O O O O O O
症状出现多久了,O O O O O O O
我给你去个电话吧,O O O O O O O O
做阴超还是腹部的，用做宫腔镜吗,O B_check I_check O O B_part I_part O O O O B_check I_check I_check O
现在这么热，适合做包皮吗,O O O O O O O O B_surgery I_surgery I_surgery O
"请问是预约挂号呢,还是疾病咨询?您好",O O O O O O O O O O O O O O O O O O
就是肿了一小块,O O B_symptom I_symptom I_symptom I_symptom I_symptom
建议你把手淫戒掉每天人都不精神，学习的干劲也没有了,O O O O B_cause I_cause O O O O O O O O O O O O O O O O O O O
姑娘，您是哪里的呢平常我应该注意什么,O O O O O O O O O O O O O O O O O O
尿有点痛，腰酸到医院后提取尿液进行检测，可以不用早尿,B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom O O O O O O B_fluid I_fluid O O O O O O O O O O O
像你这样的情况我经常遇到,O O O O O O O O O O O O
或者是前列腺炎的情况。这么长时间了,O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O
因为我院采用的是微创的，，所以输液不是必须的，，是根据你术后恢复情况决定的,O O O O O O O O B_surgery I_surgery O O O O O B_othertreatment I_othertreatment O O O O O O O O O O O O O O O O O O O O
你先讲一下什么情况,O O O O O O O O O
所以当时应该才直接做的手术我们这里大部分都是在医院里做的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我感觉我力不从心,O O O O B_symptom I_symptom I_symptom I_symptom
最近根本控制不住食量，食量越来越大，晚上肚子一直咕噜咕噜响，只要不是特别特别饿一般感觉不到饿排便也不是很多,O O O O O O O O O O O O O O O O O O O O B_part I_part O O O O O O O O O O O O O O O O O O O O O O O O B_physiology I_physiology O O O O O
我想了解一下没有晨勃是什么原因,O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O
第二次的话可以半个多小时或者更久,O O O O O O O B_datetime I_datetime I_datetime I_datetime I_datetime O O O O
那挺方便的，你这情况咱们也重视一下，病情发展也都是一点点的，只不过分体质不一样，症状也不一样,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
您好，像您这样的情况是考虑到细菌或病毒感染引起的。您多大年龄？出现这种情况多长时间？40岁,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_age I_age O
但是12号来的时候。很正常。多,O O B_datetime I_datetime I_datetime O O O O O O O O O O
有点您是做什么工作的，明天不忙的话可以过来帮您看一下，恭城过来也就1个小时的路程,O O O O O O O O O O O B_datetime I_datetime O O O O O O O O O O O O O O B_address I_address O O O O B_datetime I_datetime I_datetime I_datetime O O O
这种情况一般要咋办,O O O O O O O O O
那广安的医院去那个好你可以来咱们医院看看的,O B_address I_address O O O O O O O O O O O O O O O O O O
这个有什么好方法呢？我听朋友说可以激光治疗,O O O O O O O O O O O O O O O O O B_othertreatment I_othertreatment I_othertreatment I_othertreatment
我到院里怎么走流程,O O O O O O O O O
咱们医院这样的患者很多,O O O O O O O O O O O
你先加我微信吧，这是临时网页窗口，图片刷不出来,O O O O O O O O O O O O O O O O O O O O O O O
不好意思啊其中包括这几项,O O O O O O O O O O O O
脱落细胞是什么,O O O O O O O
"""嗯,你这个情况的话,确实是有短小存在的""",O O O O O O O O O O O O O O O B_symptom I_symptom O O O O
包括术后，消炎药，换药费用，整体下来多少,O O O O O O O O O O O O O O O O O O O O
还是做什么的检查,O O O O O O O O
神经切除术靠谱吗？,B_surgery I_surgery I_surgery I_surgery I_surgery O O O O
软的时候全包住的,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
嗯，除了精子还做什么检查啦？,O O O O B_fluid I_fluid O O O O O O O O
那手术呢恩，那过来咱们医院很近的，咱们这边有很多那边过来的患者的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
稍等，现在加你加上你了，你通过一下,O O O O O O O O O O O O O O O O O
你可以加下,O O O O O
咱们医院目前是有这方面的一个检查援助活动，提前申请预约后套餐检查是61元是非常适合您的情况的。检查确诊清楚病毒感染的类型以及数量后针对性的治疗病情不严重的一般几百元,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price
头几天感冒了，咳嗽的厉害,O O O B_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom I_symptom
月经是5月23来的您这月经刚完，您现在主要是哪里不舒服,B_physiology I_physiology O B_datetime I_datetime I_datetime I_datetime O O O O B_physiology I_physiology O O O O O O O O O O O O O O
有尿分叉，但性爱过后小便不分叉,O B_symptom I_symptom I_symptom O O B_physiology I_physiology O O O O O O O
龟头上有血泡,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
古蔺那遗精太频繁了,B_address I_address O B_symptom I_symptom I_symptom I_symptom I_symptom O
那包皮过长，如果手术得多钱,O B_symptom I_symptom I_symptom I_symptom O O O O O O O O
后期有不明白的沟通也方便一点,O O O O O O O O O O O O O O
小于2小时排尿一次为尿频,O O B_datetime I_datetime I_datetime O O B_frequency I_frequency O B_symptom I_symptom
嗯，从症状上看，是慢性炎症的一个刺激的表现,O O O O O O O O O O O O O O O O O O O O O
您好，有什么需要咨询的，请讲没有晨勃是什么原因啊,O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O
以前也有手淫，但是时间也很长，现在也会有手淫,O O O O B_cause I_cause O O O O O O O O O O O O O O B_cause I_cause
我最近这几天尿特多一上午撒了四次了,O O O B_datetime I_datetime I_datetime B_symptom I_symptom I_symptom O B_datetime I_datetime O O B_frequency I_frequency O
这样吧，你平时使用QQ还是微信，我添加你，把一些针对你目前情况治疗方式和注意事项给你说下，对你肯定有帮助的我没有QQ和微信,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我想请问，今年22，我的包皮挺长的，就在硬起的时候都看不到龟头，但是可以翻开。这种情况需要割吗？,O O O O O O O B_age I_age O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O
包茎如何治疗检查确诊是包茎了吗？,B_symptom I_symptom O O O O O O O O O B_symptom I_symptom O O O
因为我女朋友每次都是帮我手，大部分好想都是两三分钟，不知道这样算不算时间短,O O O O O O O O O O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O B_symptom I_symptom I_symptom
老婆想，我又不，哎目前是感觉性欲低下吗？,O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O
没有控制。还在发展阶段。如果这方面病毒发展滋生多了上行感染到前列腺,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_part I_part I_part
你方便了,O O O O
一直在和你这边合作,O O O O O O O O O
而且现在只要想去厕所马上就要去,O O O O O O O O O O O O O O O
那不好意思，我是女性恩恩，没事的呢.,O O O O O O O O O O O O O O O O O O
上面是你电话吧?到时给你打电话,O O O O O O O O O O O O O O O
28岁，第二性征不明显,B_age I_age I_age O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
请回答我上面的问题在龟头就得注意了。。,O O O O O O O O O O B_part I_part O O O O O O O
医生说时间短看不出来，，让我一个星期再去看，，我有点担心,O O O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O B_emotion I_emotion
是2号或3号，,O B_datetime I_datetime I_datetime I_datetime I_datetime O
明确清楚致病菌,O O O O O O O
治疗用药搭配都是有区别的。,O O O O O O O O O O O O O
这样吧，你平时使用QQ还是微信，我添加你，把一些针对你目前情况治疗方式和注意事项给你说下，对你肯定有帮助的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
稍微有点点反应就会流出前列腺液，这正常吗？,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
多少钱这个不一定的，不同病因治疗方式用药都不一样，费用肯定也有区别的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
治疗费用是需要根据你的实际情况来定的，提前预约排个号，过来医院先检查确诊，然后进行治疗，,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
北京这面是便宜么,O O O O O O O O
处理是抹药还是？,O O O O O O O O
还是怎么考虑的呢？你好还在吗？,O O O O O O O O O O O O O O O
通过刚才和你的沟通就是典型的太敏感,O O O O O O O O O O O O O O B_symptom I_symptom I_symptom
没有感染只是坐包皮,O O O O O O B_surgery I_surgery I_surgery
我感觉我好像怀孕了,O O O O O O B_physiology I_physiology O
这时候能查出是否怀孕吗？,O O O O O O O O B_physiology I_physiology O O
就害怕给我带绿帽子,O B_emotion I_emotion O O O O O O
我给你去个电话,O O O O O O O
加我吧,O O O
前列腺炎会引起阳痿嘛是会的，,B_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom O O O O O
是真有,O O O
具体得先确诊一下您早泄原因，有的是药物治疗，比如中药、中西医结合治疗，也有的是需要性功能康复治疗、脱敏治疗等,O O O O O O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O B_othertreatment I_othertreatment I_othertreatment I_othertreatment I_othertreatment O O O O O O O O O O O O O O O O O O O O O O
嗯，尽快沟通吧，炎症都是细菌真菌病毒感染，这些都是有活性的，都会繁殖复制的，拖一天就严重一天好`,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
前列腺白细胞也比较高，正常来说白细胞是十个以下才行，你现在太高了，有前列腺炎症的问题了,B_part I_part I_part B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O
阴茎比原来越来越软是怎么回事,B_part I_part B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
检查清楚具体是什么原因导致的精液不液化吗精子无法液化的话肯定是会影响剩余的,O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O
我给他发过去了，问他比较清楚,O O O O O O O O O O O O O O
白天五六次晚上三四次,B_frequency I_frequency I_frequency I_frequency I_frequency B_frequency I_frequency I_frequency I_frequency I_frequency
我就是包皮手术之后感觉。很痛,O O O B_surgery I_surgery I_surgery I_surgery O O O O O B_symptom I_symptom
右侧蛋疼怎么回事啊,O O B_symptom I_symptom O O O O O
你好我的裆部痒是怎么回事,O O O O B_symptom I_symptom I_symptom O O O O O
这方面是可以进行调理的，能治吗？,O O O O O O O O O O O O O O O O
炎症有事没,O O O O O
前列腺炎34岁嗯您是在哪个医院检查确诊的？,B_symptom I_symptom I_symptom I_symptom B_age I_age O O O O O O O O O O O O O O O
这个大概花得到多少钱呢,O O O O O O O O O O O
两三分，老婆特别不满意,B_datetime I_datetime I_datetime O O O B_emotion I_emotion I_emotion I_emotion I_emotion
这都10年了……,O O B_datetime I_datetime I_datetime O O O
好的，那咱们加上微信详细跟您说,O O O O O O O O O O O O O O O
性生活时间一般在5*到7分钟,B_physiology I_physiology I_physiology O O O O O B_datetime I_datetime I_datetime I_datetime I_datetime I_datetime
好，我知道了，去蓝天医院怎么走,O O O O O O O O O O O O O O O
到那里下车,O O O O O
你们到底让花多少钱才能好好的治疗消肿？,O O O O O O O O O O O O O O O O B_symptom I_symptom O
小便带点白色分泌物您先不要着急，我先大概了解一下您的基本情况，以便给您更好的建议。,B_fluid I_fluid O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
一个月一两次，，，，，在克制,B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency O O O O O O O O
这样吧，你平时使用QQ还是微信，我添加你，针对你现在的情况具体做什么检查和,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
要是检查的话都差什么,O O O O O O O O O O
咨询下你们那包皮手术,O O O O O O B_surgery I_surgery I_surgery I_surgery
i尿急z滴白沒有分叉等待有,O B_symptom I_symptom O B_symptom I_symptom O O O O B_symptom I_symptom I_symptom
看病排队麻烦、还要做个阵检查,O O O O O O O O O O O O O O
平时一周或者两周才有一次性生活，刚开始一次就2-3分钟,O O B_datetime I_datetime O O B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency B_physiology I_physiology I_physiology O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom
不好意思，要不早治了，中国人不好面子嘛！,B_emotion I_emotion I_emotion I_emotion O O O O O O O O O O O O O O O O
有没有不去医院可以缓解或者解决的办法啊,O O O O O O O O O O O O O O O O O O O
有时一星期1次，有时3-4次,O O B_frequency I_frequency I_frequency I_frequency I_frequency O O O B_frequency I_frequency I_frequency I_frequency
恩，您目前是怎么打算的呢,O O O O O O O O O O O O
怎么办？需要喝什么药？,O O O O O O O O O O O
医生啊，我说肾虚该开什么药他就开这个给我你是哪里的朋友,O O O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O
我是有孩子的，顺便稳稳吃药,O O O O O O O O O O O O O
泌尿系统全部检查费用多少,O O O O O O O O O O O O
除了脱皮是否有红点，红斑等症状呢,O O B_symptom I_symptom O O B_symptom I_symptom I_symptom O B_symptom I_symptom O O O O
这期间有过一次性生活，就是勃起以后感觉那筋疼，别的没有影响,O O O O O O O B_physiology I_physiology I_physiology O O O B_physiology I_physiology O O O O O B_symptom I_symptom O O O O O O O
你好，最近啪啪的时候老是没劲怎么回事？而且没有什么兴奋的感觉。,O O O O O B_physiology I_physiology O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
对方健康应该没问题,O O O O O O O O O
你目前是怎么打算的呢？一般怎么治疗,O O O O O O O O O O O O O O O O O
你就不用担心被骗问题了，咱们是只属于卫生局管理的医院，正规医院，,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
龟头敏感度3.几,B_part I_part O O O O O O
会不会是水感染的,O O O O O O O O
我想找个女的医生聊天,O O O O O O O O O O
那你这是手淫后导致的损伤了,O O O O B_cause I_cause O O O O O O O
您医院有这个药膏啊,O O O O O O O O O
费用高么,O O O O
36恩，是睾丸有明显的增大是吗,B_age I_age O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O
您尿尿包皮疼提示是感染了,O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
未成年不能单独去医院,O O O O O O O O O O
吃六味地黄丸和前列胶囊可以吗,O B_medicine I_medicine I_medicine I_medicine I_medicine O B_medicine I_medicine I_medicine I_medicine O O O
对，头一次,O O O O O
除了射精带血,O O B_symptom I_symptom I_symptom I_symptom
平时喜欢吃辣，就感觉是吃辣引起来的,O O O O B_cause I_cause O O O O O B_cause I_cause O O O O
最近我也上火,O O O O B_symptom I_symptom
可以拍个局部照片发过来吗这个我没法呢，他现在没在我这,O O O O O O O O O O O O O O O O O O O O O O O O O O
没有，我自己也没当回事就一直没,O O O O O O O O O O O O O O O
我想问一下最近有点尿频还有尿等待是不是有前列腺炎呢,O O O O O O O O O B_symptom I_symptom O O B_symptom I_symptom I_symptom O O O O O B_symptom I_symptom I_symptom O
大概几分钟？一般就5一8分钟,O O O O O O O O O B_datetime I_datetime I_datetime I_datetime I_datetime
我姓李怎么称呼呢？手术多少钱？,O O B_name O O O O O O O O O O O O
你好，精液里有血是怎么回事,O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
一天八九次吧,B_frequency I_frequency I_frequency I_frequency I_frequency O
不是非得手术的对吗,O O O O O O O O O
阴茎血管会有毒素引起回流和钙化吗这些是谁给你说的？目前具体的症状你可以说下。,B_part I_part I_part I_part O O O O O O B_symptom I_symptom O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O
硬了弯弯的。,B_symptom I_symptom I_symptom I_symptom I_symptom O
如果性生活多的话，每次就是这样的,O O B_physiology I_physiology I_physiology O O O O O O O O O O O
隔一天晚上没事吧…，，有点担心,O B_datetime I_datetime B_datetime I_datetime O O O O O O O O B_emotion I_emotion
自己手术的时候心理也有个底。你目前是在咱们绵阳哪里包皮过长早期影响不大,O O O O O O O O O O O O O O O O O O O O O B_address I_address O O B_symptom I_symptom I_symptom I_symptom O O O O O O
嗯你这个情况考虑是泌尿系统感染炎症了需要做个检查看下,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O
请问你多大年龄？，症状出现多久了的？,O O O O O O O O O O O O O O O O O O
到时再说你有QQ或微信吗？我加你方便随时联系,O O O O O O O O O O O O O O O O O O O O O O
包茎是指，阴茎勃或疲软，用手上翻包皮都不能使龟头完全外露,B_symptom I_symptom O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O B_part O O O O O O O O B_part I_part O O O O
感觉一直想去解手,O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
恩，多大年龄了？出现这个情况有多久了昨天开始的,O O O O O O O O O O O O O O O O O O B_datetime I_datetime O O O
您是想让我怎么帮您呢我想问问找一次小姐几率高吗,O O O O O O O O O O O O O O B_cause I_cause I_cause I_cause I_cause O O O O
治疗方式有很多种的，像药物，物理，或者中西医结合的方式等都是有很好的效果的具体咱们是需要检查清楚，看你适合哪种治疗方式的,O O O O O O O O O O O O O O O O O O O B_othertreatment I_othertreatment I_othertreatment I_othertreatment I_othertreatment O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
勃起慢，，，不持久,B_symptom I_symptom I_symptom O O O B_symptom I_symptom I_symptom
就是去医院检查呗,O O O O O O O O
71岁医生说要手术我不知道要多少钱,B_age I_age I_age O O O O O O O O O O O O O O
得十多次吧，我喝水比较多,O O O O O O O O O O O O
嗯嗯提供一下你的姓名和联系方式，,O O O O O O O O O O O O O O O O
大概做这个手术，需要多少钱,O O O O O O O O O O O O O
在你这个年龄段正常性生活时间应该在15-20分钟这才是你该有的时间。时间短容易导致性生活不和谐，作为男人也感觉没有面子不自信。,O O O O O O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime I_datetime I_datetime I_datetime O O O O O O O O O O B_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O
包皮手术感染了咋办,B_surgery I_surgery I_surgery I_surgery O O O O O
也差不了一天时间。但是治疗效果恢复时间差的就不是一点半点了。恩,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
四十六岁嗯那你现在感觉排尿方面有异常吗？比如尿频尿急或者尿不尽尿无力的情况,B_age I_age I_age I_age O O O O O O O O O O O O O O O O O O B_symptom I_symptom B_symptom I_symptom O O B_symptom I_symptom I_symptom B_symptom I_symptom I_symptom O O O
那你是哪里的朋友？就是绵阳附近的,O O O O O O O O O O O B_address I_address O O O
嗯，可以，,O O O O O
一般这是什么疾病,O O O O O O O O
你都不知道什么病菌病毒，就用药，是没作用的,O O O O O O O O O O O O O O O O O O O O O
嗯，我查了一下，咱们医院今天周末不休息，专家坐诊到晚上8点，目前还有2位专家号和检查援助名额可以预约申请上，你今天的时间方便吗？,O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O O O O O O O O O O O O O O O O B_datetime I_datetime O O O O O O O
你现在首先需要去医院检查清楚不要自己在用药,O O O O O O O O O O O O O O O O O O O O O
还在关注对话吗？您好，,O O O O O O O O O O O
来院做个B超确诊一下就知道了,O O O O B_check I_check O O O O O O O O
你们哪里的检查费多少钱，是吃钟药，还是西药,O O O O O O O O O O O O O O O O O O O O O
没有，害羞,O O O B_emotion I_emotion
可以的，说下qq也行,O O O O O O O O O O
包皮本来正常应该在哪啊,B_part I_part O O O O O O O O O
那就是有顽固性的炎症刺激到医院检查过吗,O O O O O O O O O O O O O O O O O O O
男的，15岁你这是血尿的情况,O O O B_age I_age I_age O O O B_symptom I_symptom O O O
都好多年前了白色东西,O B_datetime I_datetime I_datetime I_datetime O B_symptom I_symptom I_symptom I_symptom
你可以加上我微信13548421694,O O O O O O O O O O O O O O O O O O O
请问吃什么药好,O O O O O O O
我都没法给您指导。,O O O O O O O O O
做细节病菌的培养检测了吗血，尿，肛门，和尿道的分泌物,O O O O O O O O O O O O B_symptom I_symptom I_symptom O B_part I_part O O B_part I_part O O O O
你多大年纪，具体是包皮过长的情况还是包茎的情况呢二十岁，平时龟头露不出来，勃起后可以出来,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O B_symptom I_symptom O O O O O O O O O O B_part I_part O O O O O B_physiology I_physiology O O O O O
太远了，我想咨询一下，必须得检查吗,O O O O O O O O O O O O O O O O O
是的，但是想先做个检查,O O O O O O O O O O O
嗯，睾丸出现萎缩也说明病情进一步发展，在当地治疗无效？,O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O
还在这样吧，你的QQ或者微信是多少，我添加你，平时有什么不明白的方便咨询了解，,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
嗯,O
龟头炎用高锰酸钾清洗管用吗？,B_symptom I_symptom I_symptom O B_medicine I_medicine I_medicine I_medicine O O O O O O
这些医生都是需要了解清楚的，不然部位不清楚，具体的致病菌不清楚，那么在后期使用药物都是比较盲目的嗯今天太晚了明天和你联系,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
男性尿道插管排毒一次大概多少钱,O O B_othertreatment I_othertreatment I_othertreatment I_othertreatment I_othertreatment I_othertreatment O O O O O O O
恩，那咱们这个情况不排除是病毒感染导致的淋病，非淋的症状了咱们目前是打算改善下这个问题吗？,O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O
没事的。出事也不怪你。从你们医学上你觉得这两种药我适合吃哪个,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
那是什么精液的产生是个复杂过程。如果出现精液减少并且精液稀。直接影响精子质量。,O O O O B_fluid I_fluid O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom O O O O O B_fluid I_fluid O O O
对夜尿多了每天晚上肯定起三次,O B_symptom I_symptom I_symptom O O O B_datetime I_datetime O O O B_frequency I_frequency
多长时间试纸可以测出来,O O O O B_tool I_tool O O O O O
在检查一次精液恩，可以的，那我可以帮你申请个咱们的援助检查，过来检查下精液的,O O O O O B_fluid I_fluid O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_fluid I_fluid O
无痛微创手术，韩式环切术，韩式隐痕美容术预，欧式整形术手术价格都是一样的吗？,B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O B_surgery I_surgery I_surgery I_surgery I_surgery O B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O O B_surgery I_surgery I_surgery I_surgery I_surgery O O O O O O O O O O O
排卵期同房了，只是看看多长时间就能测出来,B_physiology I_physiology O B_physiology I_physiology O O O O O O O O O O O O O O O
有什么好的改善方法没,O O O O O O O O O O
