sentence,sentence2,label
是永久脱毛吗,可以永久脱毛吗,0
做来效果怎么样,效果怎么样,1
幼稚子宫是什么？,什么是幼稚子宫？,1
阳痿怎么治疗啊？,阳痿 怎么治疗？,1
月经发黑是怎么回事？,月经 发黑怎么回事,1
你好瘦脸针是什么牌子的？,瘦脸针什么牌子的,1
双角子宫可以做手术吗？,双角子宫可以做手术吗,1
贴双眼皮贴贴的都松弛了,经常贴双眼皮贴有点松弛了,1
永久脱毛是永久的吗？,脱毛是永久的吗,1
需要住院吗，,这个需要住院吗,1
白带是黄色的,白带是黄色的,1
一个月月经来两次是怎么回事,一个月来两次月经是怎么回事,1
能过性生活吗？,能过性生活吗,1
白癜风会遗传吗,白斑会有遗传吗,0
国产和进口瘦脸针有什么区别吗,瘦脸针 国产的和进口的有什么区别呢,1
请问男人做爱多久才是正常的,男人多久才正常,1
你们医院是是公立还是私立医院,你们医院是私立的还是公立的,1
怀孕了多久可以做流产,怀孕多久不可以做流产,0
祛疤可以吗,可以祛疤么,1
宫颈糜烂是怎么引起的啊,宫颈糜烂是怎么引起的？,1
可以用什么药物,用什么药物呢,1
那怎么办，,那怎么办呢,1
瘦脸针有什么副作用请问,瘦脸针 有什么副作用吗？,1
始基子宫可以治疗好吗,始基子宫可以治疗好吗,1
那需要怎么治疗呢？,那怎么治疗呢,1
用什么药物治疗呢,用什么药物呢,1
玻尿酸一次管多久,玻尿酸管多久,1
白带是豆腐渣状,白带有时候是豆腐渣状,1
您老吃点什么药好,这个吃点什么药好,1
进口的和国产的什么区别？,进口的和国产的有什么区别,1
瘦脸针有副作用吗,瘦脸针 有什么副作用吗？,1
脱毛  有永久性的吗,脱毛 是永久性的吗,1
吃药，还是什么,是吃药治疗还是什么,1
请问可以洗纹身吗？,请问你们可以洗纹身吗,1
无子宫无阴道能救治的吗，先天性的,请问先天性无阴道，无子宫，能治疗吗,1
填充玻尿酸可以管多久,注射玻尿酸 可以管多久,1
线雕可以维持多久,线雕能维持多久,1
怀孕多久可以药流,请问怀孕多久可以药流,1
祛痣多少钱,祛痣多少钱？,1
会有疤痕留下吗,会留下疤痕吗？,1
大约需要多少钱呢？,大约需要多少钱,1
月经不调是什么原因？,月经不调 是什么原因？,1
是永久脱毛的吗,脱毛 是永久吗？,1
月经发黑什么原因,月经发黑是什么原因,1
痔疮手术需要住院吗,痔疮手术 手术需要住院吗,1
治疗血管瘤一般要多少钱,血管瘤 一般要多少钱,1
能治疗吗？,能治疗吗,1
你好怀孕多久可以做人流,怀孕多久可以做人流？,1
那为啥有国产和进口的区别,国产和进口有什么区别呢,1
治疗血管瘤的费用大概多少钱,治血管瘤大概多少钱,1
月经不调怎么调理,月经不调应该怎么调理,1
结肠镜和肠镜有什么区别吗,结肠镜和肠镜有什么区别吗,1
水光针是多久打一次,水光针多久打一次啊,1
割包皮需要休息几天,包皮手术需要休息几天？,1
阴道炎用什么药好,阴道炎，用什么药好,1
早泄能治好？,早泄能治好吗,1
 注射玻尿酸能维持多久,玻尿酸注射 能维持多久,1
验孕棒一深一浅是什么意思啊,验孕棒一浅一深代表什么意思,1
男人一般射精多久算正常？,男人多久算正常,0
瘦脸针580是什么牌子的？,瘦脸针现在是什么牌子,0
洗纹身多少钱？,洗纹身要多少钱,1
冰点脱毛永久吗,冰点脱毛能永久脱毛吗？,1
你好，洗纹身可以不留疤吗,洗纹身不留疤吗？,1
请问怀孕多久可以做人流,怀孕多久可以做人流,1
始基子宫能治疗好吗,始基子宫可以治疗好吗,1
脱毛可以吗,可以脱毛？,1
 我是内双可以割双眼皮吗？,我是内双可以割双眼皮吗,1
怀孕多久可以流产,怀孕多久不可以做流产,0
月经推迟了什么原因,月经推迟 什么原因,1
tct是什么检查,tct检查是什么,1
这个病严重吗？,这个病严重吗？,1
这个要怎么治疗啊，,这个怎么治疗啊,1
大概多少钱,大概用多少钱,1
阳痿怎么治疗啊,阳痿怎么治疗,1
自体脂肪填充4800吗,自体脂肪填充 永久的吗,0
洗纹身多少钱？,洗纹身 多少钱,1
bv检测什么,bv检测是什么,1
请问纹眉和绣眉什么区别,纹眉和绣眉有啥区别,1
子宫切除了对性生活有影响吗,你好，请问切除子宫对性生活会有影响吗？,1
你好 请问早泄怎么治疗,你好请问怎么治疗早泄,1
白带发黄怎么回事？,白带发黄怎么回事？？,1
月经不调，怎么调理,怎么调理月经不调？,1
经常贴双眼皮贴眼皮松弛,经常贴双眼皮贴 松弛,1
怎莫戒掉手淫,手淫 怎么戒掉,1
这个用住院吗,用住院吗,1
胃疼怎么治,便秘怎么治,0
那要怎么治疗？,那要怎么治疗,1
都怎么检查啊,都怎么检查,1
治疗血管瘤大概要多少钱,血管瘤治疗要多少钱,1
我做爱时间短怎么办,做爱时间短怎么办？,1
BV是什么了,BV是什么呀,1
月经黑色怎么回事,月经黑色 怎么回事,1
 开眼角和双眼皮的,双眼皮和开眼角,1
还可以修复处女膜吗,处女膜 还能修复吗,1
月经不调是怎么回事呢,月经不调 怎么回事呢,1
有什么药物治疗,请问有什么药物治疗吗,1
进口的和国产的区别？,哦，国产的和进口的有什么区别,1
那怎么治呢,怎么治了呢,1
多少钱一颗痣？,一颗痣大概多少钱,1
石女可以治好吗？,石女可以治好吗,1
就是包皮感觉有点长,就是包皮有点长,1
那怎么办？,那怎么办啊？,1
请问，先天性无子宫可以治疗吗？,请问先天性无子宫能治疗吗？,1
要住院吗,要住院吗？,1
啊那怎么办,那怎么办啊？,1
那因该吃什么药啊,那吃什么药呢,1
可以勃起硬度不够,勃起硬度不够,1
怀孕了多久能有反应？,怀孕多久会有反应呢,1
先天性幼稚子宫能治好吗,先天性的幼稚子宫 能治好吗,1
线雕维持多久？,线雕能维持多久,1
B超需要空腹吗,做B超需要空腹吗,1
包皮过长不做手术可以不,包皮可以不做手术吗？,0
大便有血怎么回事啊？,大便有血怎么回事,1
这怎么治疗啊,这怎么治疗,1
请问洗纹身可以吗,纹身可以洗吗,1
你们医院是公立还是私立？,你这医院是公立还是私立的，,1
吃药可以吗,这个吃药可以吗,1
祛斑不会反弹吗,祛斑 会不会反弹？,1
你好 请问早泄怎么治疗,你好，早泄怎么治疗,1
是公立还是私立医院,你们医院是公立还是私立呀,1
是永久的脱毛吗,脱毛 永久的吗,1
你们激光脱毛可以脱发际线吗,你们激光脱毛可以脱发际线吗,1
去一颗痣要多少钱,去痣多少钱一颗,1
你们是公立医院吗？,你们医院是公立医院吗？,1
打一次玻尿酸能维持多久？,玻尿酸 打一次可以维持多久,1
不想要怎么办,现在不想要怎么办,1
怎么治疗这个,这个治疗怎么治疗啊？,1
子宫切除后还能不能过性生活,子宫切除后还可以过性生活吗？,1
是怎么检查的？,怎么检查的,1
白癜风会不会传染,白斑 会不会传染,0
外阴瘙痒用什么药呢？,你好，我的外阴瘙痒用什么药,1
那怎么办的,那怎么办,1
前列腺有什么症状。,前列腺有什么症状,1
你好，始基子宫能治好吗,请问始基子宫能治好吗,1
割了包皮，有什么好处,包皮割了的好处是啥,1
白斑能治好吗？,白斑 能治好吗？,1
幼稚子宫能怀孕吗,我是幼稚子宫，能怀孕吗,1
阴道炎用什么药好,阴道炎用什么药好,1
白癜风有什么影响,白癜风有什么影响,1
外阴瘙痒用什么药呢,请问外阴瘙痒用什么药呢？,1
你们的医院是私立还是公立,您这医院是私立还是公立的,1
宫颈糜烂一般怎么治疗？,宫颈糜烂 一般怎么治疗呢,1
洗纹身多少钱,洗纹身大概多少钱,1
治疗阳痿早泄吃什么药,阳痿 早泄  吃什么药,1
白癜风会传染吗？,白癜风会传染吗,1
瘦脸针 是什么牌子？,瘦脸针现在是什么牌子,1
子宫正常多大,正常子宫多大？,1
手淫好多年了。,手淫好多年了,1
 手术疤痕可以修复吗,手术疤痕能修复吗,1
双子宫什么意思,双子宫是什么意思,1
你好 早泄怎么治疗,你好，早泄怎么治疗,1
流产后多久可以怀孕,流产后多久可以怀孕,1
阴道里面痒,阴道  里面痒,1
有什么药物治疗吗,请问有什么药物治疗吗,1
胎记能治吗？,胎记 能治吗？,1
瘦脸针有副作用吗？ ,瘦脸针 会不会有副作用,1
血管瘤挂什么科？,血管瘤 挂什么科,1
吃啥药？,吃啥药呢,1
月经推迟什么原因？,请问月经推迟，什么原因,1
能不能治疗好,能不能治疗,1
做自体脂肪能维持多久,自体脂肪能维持多久,1
纹身洗了会有留疤吗,洗纹身会留疤吗,1
大概费用多少钱,大概多少钱,1
现在好治吗,好治吗,1
怎么降低龟头敏感度。,龟头敏感度怎么降低,1
 玻尿酸保持多久,玻尿酸注射 可以保持多久呢,1
月经来有血块正常吗,月经来血块多是正常的吗？,0
炎症吃点什么药好呢,这个吃点什么药好,0
你好请问在吗,你好在吗,1
洗纹身大概多少钱,洗纹身大概要多少钱,1
我是内双我适合做双眼皮吗,我是内双我适合做双眼皮吗,1
这个先天性无子宫可以治疗吗,先天性无子宫可以治疗吗,1
这个需要住院治疗吗？,那需要我住院治疗吗,1
大便出血是怎么回事,大便出血怎么回事,1
腺肌症怎么治疗好,腺肌症怎么治疗,1
怎么治疗啊😊,这个治疗怎么治疗啊？,1
大便出血是怎么回事呢,大便出血怎么回事呢,1
多少钱一次,一次多少钱,1
洗纹身要洗几次,洗纹身 要洗几次呢,1
外阴痛痒用什么药,外阴瘙痒，用什么药,1
我大便出血是怎么回事,大便出血 是怎么回事,1
你们医院是公立的还是私立的,你们医院是公立还是私立的,1
血管瘤危险吗？,血管瘤危险吗,1
这个怎么治疗啊,怎么治疗啊,1
我是包皮长,我的包皮长,1
你们是三甲医院还是？,你们是三甲医院吗,1
洗纹身大概多少钱,洗纹身多少钱,1
龟头上有小红点，怎么回事,龟头上有小红点，是怎么回事？,1
请问洗纹身可以吗,可以洗纹身吗,1
子宫正常多大,正常子宫多大,1
不想要孩子  怎么办,不想要孩子怎么办,1
你好。在不在,你好。在吗,1
双眼皮埋线能保持多久呢,双眼皮 埋线能保持多久呢,1
就是包皮有点长，,就是那包皮有点长,1
治疗血管瘤一般要多少钱,血管瘤 一般多少钱,1
你们瘦脸针的牌子是什么的,瘦脸针 你们有什么牌子的,1
白带发黄是什么原因？,白带发黄 是什么原因呢,1
什么是双子宫啊,什么是双子宫啊,1
是的，我有手淫的习惯,我以前有手淫的习惯,1
龟头上有小红点，怎么回事,龟头上有小红点是怎么回事,1
前列腺都什么症状,前列腺是什么症状,1
怎么修复处女膜,处女膜怎么修复,1
请问可以用医保卡吗,你们用医保卡吗,1
你好，外阴痒用什么药,外阴痒用什么药？,1
都好几年了,好几年了,1
怀孕了多久能测出来,多久能测出来怀孕呢,1
我的内双,我内双,1
BV 检测是什么,BV检测是什么,1
怎么治疗黄褐斑,黄褐斑怎么治疗,1
一个月来了两次月经正常吗,我一个月来了两次例假  正常吗,1
是永久脱毛？,是永久脱毛的吗,1
打玻尿酸能维持多久？,打玻尿酸 打一次可以维持多久？,1
什么叫石女,什么叫石女,1
怎么调理月经不调,月经不调 怎么调理呢,1
雀斑可以怎么治疗,雀斑怎么治疗,1
可以美白全身吗,可以全身美白的吗,1
用什么药物好呢,用什么药物呢,1
 玻尿酸可以维持多久,玻尿酸注射可以维持多久,1
瘦脸针有副作用吗,瘦脸针 副作用是什么,1
男人一般射精多久算正常？,男人多久算正常,0
 国产和进口的有区别吗,哦，国产的和进口的有什么区别,1
你们医院是公立还是私立？,你们是公立还是私立医院,1
是激光祛斑吗，会不会反弹,激光祛斑 会不会反弹,1
早泄可以治疗吗，,早泄可以治疗吗,1
你们是正规的医院吗,你们是正规医院吗,1
一个月来两次月经是怎么回事,一个月来两次月经是为什么？,1
你们是看男科的吗,你们是男科吗,1
需要多长时间？,需要多长时间,1
祛斑后会不会复发,祛斑了会不会复发,1
多少钱,多少钱,1
是激光脱毛还是冰点的,脱毛 是激光还是冰点啊,1
一般洗纹身多少钱,纹身 洗多少钱,1
会留下疤痕？,会留下疤痕吗？,1
胃疼怎么治,便血  怎么治,0
请问石女来月经吗,石女来月经吗,1
小腹胀痛怎么回事,小腹胀痛是怎么回事呀,1
包皮是长的,包皮是长,1
便血是怎么回事,便血怎么回事,1
打玻尿酸能维持多久呢,打玻尿酸 打一次能维持多久,1
怎样治疗？,那怎样可以治疗？,1
是什么原因,什么原因呢请问什么原因,1
你们是私立？还是公立,你们是公立还是私立,1
那割包皮痛不痛,割包皮痛不痛,1
白带是褐色是怎么回事,褐色白带怎么回事,1
会不会是怀孕？,会不会怀孕啊？,0
先天性无子宫可以治疗好吗？,先天性无子宫可以治疗吗？,0
男人做爱多久算正常,男人多久算正常,1
白斑会传染吗？,白斑 会传染吗,1
应该怎么治疗？,应该怎么治疗呢？,1
早泄治疗吗,早泄可以治疗吗,1
tct 是什么,tct是什么意思,1
怎么调理月经不调,月经不调 怎么调理,1
一般性生活多少分钟正常啊,性生活多少分钟正常,1
只想咨询一下,想咨询一下,1
国产进口的区别是什么呢,国产和进口有什么区别呢,1
玻尿酸能保持多久呢？,玻尿酸注射 可以保持多久呢,1
需要吃点什么药呢,我需要吃点什么药,1
白带是褐色怎么回事,褐色白带怎么回事啊,1
纹身可以洗吗,洗纹身 可以洗吗,1
你好 在吗，,你好在吗,1
我月经量少请问怎么回事,月经量少怎么回事,1
怎么检查呢,怎么检查,1
可以做双眼皮埋线吗？,双眼皮 可以做埋线吗？,1
拉血怎么回事,拉血怎么回事啊？,1
什么是腺肌症,什么是腺肌症,1
你们980的瘦脸针是什么牌子的？,瘦脸针 是什么牌子的,0
纹身能洗干净？,纹身可以洗干净吗？,1
盆腔炎都有什么症状,盆腔炎有什么症状么,1
月经一个月来两次是正常吗？,一个月来了两次月经正常吗？,1
脱毛可以吗,可以脱毛吗,1
应该吃什么药比较好,吃什么药比较好,1
同房多久会测出怀孕,同房多久能测出怀孕？,1
那有什么好的办法？,那有什么办法吗,1
盆腔炎的症状是什么,盆腔炎有什么症状么,1
外阴痒是怎么回事呢？,外阴痒是怎么回事啊,1
要注意什么饮食,饮食注意什么呢,1
双子宫是什么意思啊,双子宫是什么意思,1
物理治疗是什么,物理治疗是什么？,1
白癜风是什么症状呢,白癜风什么症状,1
那怎么办😱,那怎么办,1
怀孕试纸多久能测出来,早孕试纸 多久能测出来,1
什么原因引起的？,什么原因引起的。,1
月经发黑是怎么回事？,月经发黑是怎么回事,1
男人做爱多久算正常,男人做爱多久是正常？,1
月经推迟什么原因,月经推迟 什么原因,1
月经发黑怎么回事啊,月经发黑是怎么回事,1
单角子宫能正常怀孕吗,你好，单角子宫能正常怀孕吗,1
可以洗纹身么,纹身可以洗吗,1
始基子宫能治好吗？,始基子宫能治好吗？,1
要是一个月来两次月经正常吗,一个月来了两次月经正常吗？,1
BV检查是什么？,BV检查是什么？,1
验孕棒一浅一深什么意思？,验孕棒一浅一深代表什么意思,1
始基子宫可以治疗好不,始基子宫能治疗好吗？,1
线雕维持多久？,线雕 可以维持多久？,1
怎莫戒掉手淫,手淫怎么戒掉,1
这个是怎么治疗？,这个治疗怎么治疗啊？,1
 什么牌子的瘦脸针,瘦脸针 什么牌子的针,1
包皮痛不痛,割包皮痛不痛,1
血管瘤什么样子的,血管瘤是什么样子的,1
阴茎可以做延长吗,阴茎延长可以吗？,1
 你们洗纹身吗？,请问你们可以洗纹身吗,1
怎么治愈,那怎么治愈呢,1
肾虚吃什么药比较好,早泄吃什么药比较好,0
这个怎么治疗呢,怎么治疗呢,1
激光洗纹身要几次,激光洗纹身 要洗几次，,1
用什么药物好呢,用什么药物呢,1
你们的瘦脸针什么牌子的,你们是什么牌子瘦脸针,1
月经不调是怎么回事诶,月经不调 是怎么回事呢？,1
是中药调理还是西药治疗？,药物治疗是中药还是西药,1
怀孕后多久可以做人流,怀孕了多久可以做人流,1
始基子宫能治好么,始基子宫能治好吗,1
月经发黑是怎么回事呀,月经发黑 是怎么回事,1
非经期出血是怎么回事,非经期出血 想问问怎么回事,1
进口和国产瘦脸针有什么区别,进口瘦脸针和国产瘦脸针有什么区别,1
有点黄,有点黄,1
好几年了。,好几年了,1
早泄怎么治疗吃什么药？,早泄 吃什么药怎么治疗,1
 永久脱毛吗？,脱毛 有永久的吗？,1
那怎么治？,那怎么治啊,1
大便有血怎么回事,大便有血怎么回事,1
能不能治疗？,能不能治疗,1
疤痕修复可以吗,疤痕修复可以吗？,1
白癜风会传染吗？,白斑 会传染吗,0
可以洗纹身吗，？请问,请问你们可以洗纹身吗,1
怎么收费,痣 怎么收费,0
您好，阴道炎怎么治疗？,阴道炎怎么治疗,1
？那怎么办？,那怎么办,1
月经一般推迟几天算正常？,请问月经推迟几天算正常,1
费用多少钱大概,大概用多少钱,1
多久能测出来啊,一般多久能测出来啊,1
那可以做b超吗,可以做b超吗,1
龟头上有小红点怎么回事？,龟头上有小红点怎么回事,1
尿道里特痒,尿道就是痒,1
孕前检查检查什么,孕前检查 都做什么检查,1
怀孕多久有反应？,一般怀孕多久有反应,1
你们医院是公立还是私立的,你们医院是私立的还是公立的,1
月经不调应该怎么调理,月经不调应该怎么调理,1
有几年了呢,有几年了,1
幽门螺杆菌是什么,幽门螺杆菌是什么,1
你们不是男科吗？,你们是男科吗,1
正常子宫 多大,想知道正常子宫多大,1
好治吗\,好治吗,1
打一次瘦脸针可以维持多久,瘦脸针可以维持多久,1
大便有血是怎么回事,大便有血怎么回事,1
是激光脱毛还是冰点的,脱毛 是冰点还是激光,1
白带常规了,白带常规呢,0
外阴现在特别痒,外阴特别痒，,1
点痣留疤吗,点痣 会留疤？,1
 有永久脱毛吗,有永久脱毛吗？,1
有祛疤的吗,能祛疤吗,0
双角子宫能做手术吗,双角子宫可以做手术吗,1
幼稚子宫能治好吗,请问幼稚子宫能治好吗,1
永久脱毛是永久的吗？,是永久脱毛的吗,1
是埋线好还是切开好呢,埋线好还是切开好啊？,1
雀斑可以治疗吗,雀斑  可以治疗吗,1
用什么药物？,用什么药物呢,1
请问吃什么药好呢,吃什么药好呢？,1
得有几个月了,有几个月了,1
怀孕多久会有反应？,怀孕多久 会有反应,1
大便有血怎么回事啊？,大便有血是怎么回事,1
前列腺都检查什么项目,前列腺检查 需要做什么检查项目,1
以前手淫多了,手淫 以前多,1
孕前检查都需要检查什么呢,孕前检查都需要检查什么呢？,1
做鼻子需要住院吗,做鼻子需要住院吗？,1
子宫小影响怀孕吗,子宫小影响怀孕吗,1
不需住院吗？,要住院吗,1
没有子宫会怎么样？,没有子宫会怎么样,1
你好包皮不做手术可以吗,包皮可以不做手术吗？,1
这个治疗是怎么治疗,这个治疗怎么治疗啊？,1
龟头上小红点是怎么回事,龟头上有小红点是怎么回事,1
吃点啥药好,可以吃点啥药,1
做包皮手术需要休息几天,包皮手术 需要休息几天？,1
就是包皮有点长，,就是包皮有点长,1
炎症吃点什么药好呢,这个吃点什么药好,0
国产的和进口的有什么区别吗？,国产和进口有什么区别呢,1
私立还是公立？,请问公立还是私立？,1
可以永久脱毛吗,可以永久脱毛吗,1
B超和彩超区别呢,彩超和B超有什么区别？,1
国产的和进口的什么区别,进口的和国产的有什么区别,1
你是医生吗,你是医生吗？,1
阳痿早泄能治好,早泄能治好吗,0
白癜风能治好吗？,白癜风能治好吗,1
瘦脸针一支能维持多久,瘦脸针可以维持多久,1
吃什么药好用,吃什么药好呢？,1
双子宫有什么影响吗,双子宫有什么影响,1
子宫纵隔能做手术吗,请问纵隔子宫可以做手术吗,1
为什么手淫的时候不到一分钟就射了,手淫怎么不到一分钟射了,1
胎记可以 去除吗,胎记可以去除吗,1
激素六项检查都有什么？,六项激素检查是什么,0
处女膜能修复吗？,可以修复处女膜吗,1
白癜风是什么症状呢,白癜风有什么症状,1
玻尿酸注射有副作用吗？,注射玻尿酸 会不会有副作用,1
孕前检查都做什么,孕前检查 都做什么检查,1
白带多发黄是什么原因呢,白带发黄的原因是什么,1
需要住院吗，,需要住院？,1
做阴道紧缩术有效果吗？,做阴道紧缩术有效果吗？,1
包皮就是有点长,就是包皮有点长,1
咱们医院是公立还是私立的,咱们这医院是公立的还是私立的,1
双子宫能怀孕吗,双子宫能怀孕吗,1
无痛人流现在可以做吗,现在可以做无痛人流吗？,1
有不几个月了吧,有几个月了,1
BV是什么了,BV是查什么,0
我是先天性无子宫 请问怎么治疗,先天性无子宫 请问怎么治疗,1
石女来月经吗？,石女来月经吗,1
我做爱时间有点短怎么办？,做爱时间短怎么办？,1
治疗血管瘤大概需要多少钱,血管瘤治疗大概需要多少钱,1
怎么调理月经不调,月经不调应该怎么调理,1
始基子宫能治疗吗？,请问始基子宫能治疗吗,1
 玻尿酸保持多久,玻尿酸注射 能保持多久？,1
可以治愈吗？,可以治愈吗，,1
血管瘤会自己吸收的吗？,血管瘤能自己吸收吗,1
洗纹身多少钱？,纹身 洗多少钱,1
月经发黑量少，是什么原因,请问月经量少发黑是什么原因,1
是永久脱毛？,脱毛 是永久的吗？,1
月经量少怎么回事呢？,月经量少是怎么回事,1
 有没有副作用,有没有副作用？,1
请问是公立还是私立,请问公立还是私立？,1
幼稚子宫能治好吗，,幼稚子宫 能治好吗,1
吃的什么药比较好一点,吃什么药比较好,1
怀孕都有什么症状？,怀孕都有什么症状,1
怀孕初期都有什么症状呢,怀孕初期的症状有什么呢,1
有后遗症的吗？,会有后遗症吗？,1
祛斑会不会反弹,祛斑 会不会反弹,1
月经推迟多久算正常？,月经推迟多久算正常,1
可以吃点药吗,吃点药好吗,0
双子宫是什么意思啊,什么是双子宫啊,1
费用一般多少,一般多少钱,1
月经一个月来两次是正常吗？,月经 一个月两次正常吗,1
试纸多久可以测出怀孕,试纸多久能测出怀孕,1
可以治疗了吗？,可以治疗吗,1
你们可以用医保卡吗,你们用医保卡吗,1
什么药可以治疗,用什么药可以治疗,1
不是可以永久脱毛吗,脱毛 不是永久？,1
孕前检查检查什么,孕前检查 检查什么呢,1
是怎么检查,怎么检查,1
 你们洗纹身吗？,你们那可以洗纹身？,1
双眼皮要多久恢复,双眼皮 多久恢复,1
包皮怎么才算过长,怎样才算包皮过长,1
先天性无子宫能治吗,先天性没有子宫能治吗,1
哑癜风是什么症状,白癜风  请问是什么症状,1
月经发黑量少是什么原因,月经量少发黑  是什么原因,1
双子宫 是什么意思,双子宫是什么意思,1
阴囊潮湿是什么？,什么是阴囊潮湿啊？,1
洗纹身，怎么收费？,纹身 洗纹身 怎么收费,0
子宫没有了，对性生活有影响吗,没了子宫对性生活有影响吗？,1
美白针有副作用吗 ,脱毛 有副作用吗？,0
有药物治疗吗？,药物治疗吗,0
是中度的,应该是中度的,1
线雕可以维持多久,线雕 可以维持多久？,1
始基子宫能治疗吗？,你好，始基子宫能治疗吗,1
都需要检查什么怎么检查,都怎么检查,1
怎样知道自己是不是石女,怎样知道自己是不是石女？,1
永久脱毛是吗,脱毛 是永久的吗,1
同房出血什么原因,同房出血是什么原因,1
能看好吗？,可以看好吗,1
可以永久脱毛吗？,有永久脱毛？,1
怎么检查，,怎么检查,1
吃点什么药？,吃点什么药？,1
 吸脂多久恢复,吸脂  多久能恢复？,1
子宫正常是多大,子宫正常的是多大,1
我想咨询一下葛双眼皮,想咨询双眼皮,1
阴部瘙痒怎么回事,阴部瘙痒怎么回事,1
我是幼稚子宫可以治疗吗,我是幼稚子宫能治疗吗,1
埋线能管多久,埋线 能管多久,1
可以永久脱毛吗,脱毛 永久的吗,1
月经不调怎么回事？,月经不调是怎么回事？,1
 注射玻尿酸能维持多久,注射玻尿酸 能维持多久？,1
请问白带是褐色的是怎么回事,褐色白带怎么回事,1
吃点什么药？,吃点啥药？,1
什么方法？,有什么方法,1
医院是公立的还是私立的,你们是公立还是私立医院,1
先天性无子宫，能治疗吗,先天性无子宫能治疗吗,1
我是幼稚子宫可以治疗吗,请问是幼稚子宫可以治疗吗？,1
是正规医院吗,这个是正规医院吗,1
白斑是怎么引起的,白斑 这个是怎么引起的呢,1
那现在怎么治疗呢,那怎么治疗呢？,1
怀孕初期的症状是什么？,怀孕初期是什么症状,1
是激光脱毛的吗,是激光脱毛吗,1
是公立还是私立医院,你们医院是公立还是私立的,1
脱毛永久的吗？,脱毛是永久的吗,1
盆腔炎有什么症状？,盆腔炎有什么症状么,1
大便出血怎么回事,大便出血，怎么回事,1
 会留疤？,会留疤吗,1
耳洞能打吗,可以打耳洞吗,1
看血管瘤应该挂什么科呢,血管瘤应该挂什么科呢,1
你们脱毛是激光脱毛吗？,是激光脱毛？,1
您老吃点什么药好,这个吃点什么药好,1
一般月经推迟几天算正常的,请问月经推迟几天算正常,1
无子宫能治疗吗？,无子宫 能治疗吗,1
请问你们医院是公立还是私立,你们医院是公立还是私立的,1
石女可以治好吗,石女可以治好吗,1
你们是公立医院吗,你们医院是公立医院吗？,1
月经不调，怎么调理,月经不调 怎么调理呢,1
一般月经推迟几天算正常呢,月经 一般几天算正常,1
没有子宫还能怀孕吗,没有子宫还能怀孕吗,1
请问会传染吗,会传染吗,1
洗纹身多少钱,洗纹身 一般多少钱,1
不是可以永久脱毛吗,不是永久脱毛吗,1
白癜风怎么治？,白斑怎么治,0
都怎么检查啊,都怎么检查,1
可以永久脱毛吗？,脱毛，可以永久？,1
吃药可以吗？,吃药可以吗,1
早泄怎么解决呢,早泄问题怎么解决呢,1
始基子宫能治疗好吗,始基子宫能治疗好吗？,1
去胎记多少钱大概,去胎记大概多少钱,1
瘦脸针666是什么牌子的,瘦脸针 是什么牌子的啊,0
吸脂手术安全不安全,吸脂安全吗？,1
去痣多少钱一颗,去痣多少钱一颗,1
玻尿酸保持多久,玻尿酸注射 能保持多久？,1
永久脱毛吗？,能永久脱毛吗？,1
怀孕多久 可以 药流,怀孕多久可以药流,1
男人多久是正常,男人多久才正常,1
洗纹身一般要多少钱,一般洗纹身要多少钱？,1
你们这是三甲医院吗,你们医院是三甲医院吗,1
我早泄怎么治疗,我阳痿早泄怎么治疗,0
你好，外阴痒用什么药,外阴痒用什么药,1
有修复双眼皮？,有做修复双眼皮吗,1
白带还有点发黄,白带有点发黄,1
检查都怎么检查,都怎么检查,1
你好 多久能测出怀孕,多久能测出怀孕？,1
抑郁症可以治疗吗,抑郁症 可以治疗吗,1
子宫切除，对性生活有影响吗？,子宫切除对性生活有影响吗？,1
那手淫怎么戒掉,手淫 怎么戒掉,1
白带褐色是怎么回事？,褐色白带怎么回事啊,1
请问做b超需要空腹吗？,做b超需要空腹吗？,1
那需要住院吗？,需要住院？,1
试孕纸多久能测出来怀孕,怀孕多久能测出来试纸,1
修复处女膜吗？,请问可以做处女膜修复吗？,1
怎么收费的,怎么收费，,1
什么原因会推迟月经,月经推迟 会不会有推迟的原因,0
瘦脸针都有什么副作用？,瘦脸针 有什么副作用,1
现在试纸，能测出来吗,用试纸能测出来吗现在？,1
你的医院在哪里,医院在哪里,1
请问怀孕多久可以做人流,怀孕了多久可以做人流,1
点痣会不会留疤,点痣会不会留疤？,1
月经不调应该怎么调理,月经不调 怎么调理,1
这是公立还是私立医院？,您这医院是私立还是公立的,1
你们可以洗纹身吗？,洗纹身可以吗？,1
龟头痒是怎么回事啊？,龟头痒怎么回事,1
永久脱毛是吗,可以永久脱毛吗,0
包皮过长有影响发育吗？,包皮过长还影响发育吗,1
彩超和B超有啥区别么,彩超和B超有什么区别吗,1
多久能治好,多久能治好啊,1
外阴瘙痒。用什么药？,外阴瘙痒 请问用什么药,1
住院吗,要住院吗,1
我没有什么影响,有什么影响没有,0
你好怀孕多久可以做人流,怀孕多久可以做人流,1
白癜风会传染吗,白斑 白癜风 会传染吗,0
去胎记要多少钱,胎记 要多少钱,1
眼睛也是一大一小,眼睛 一大一小,1
割了包皮有什么好处呢,割了包皮  有什么好处,1
 有永久脱毛吗,有永久脱毛？,1
进口的和国产的什么区别？,国产和进口有什么区别呢,1
那该怎么办呢,那该怎么办,1
这怎么治啊,怎么治啊,1
